Seeds,SGD,,HB,,,Adam,,
,learning rate,test accuracy,learning rate,momentum,test accuracy,learning rate,epsilon,test accuracy
1,0.191,90.46,0.775,0.632,92.05,1.701E+11,2.491E+11,92.06
2,0.228,90.81,0.681,0.722,91.72,1.995E+11,3.748E+11,91.37
3,0.590,91.67,0.722,0.957,10.00,1.273E+11,2.114E+11,91.84
4,0.641,91.56,0.932,0.548,10.00,3.756E+11,7.491E+11,91.39
5,0.183,90.77,0.918,0.535,91.93,9.801E+10,1.759E+11,91.93
6,0.543,91.79,0.181,0.916,91.59,4.406E+11,6.727E+11,91.77
7,0.900,91.90,0.958,0.932,10.00,1.820E+11,3.480E+11,91.86
8,0.121,90.14,0.240,0.847,91.70,2.714E+11,4.169E+11,91.53
9,0.902,91.87,0.785,0.904,10.00,2.561E+11,3.879E+11,91.73
10,0.671,92.05,0.581,0.957,10.00,1.824E+11,3.103E+11,91.64
11,0.951,91.89,0.442,0.985,10.00,6.310E+11,9.162E+11,91.78
12,0.082,88.89,0.913,0.732,10.00,2.965E+11,5.504E+11,91.63
13,0.284,91.24,0.495,0.616,91.93,4.194E+11,6.150E+11,91.59
14,0.637,92.05,0.523,0.837,54.31,4.515E+11,8.421E+11,91.79
15,0.476,91.76,0.400,0.551,91.97,4.564E+11,7.643E+11,91.66
16,0.119,89.68,0.721,0.712,91.70,3.839E+11,5.579E+11,91.70
17,0.403,91.19,0.477,0.707,91.86,7.134E+10,1.115E+11,91.89
18,0.837,92.10,0.290,0.868,91.82,3.178E+11,5.022E+11,91.85
19,0.269,91.55,0.995,0.991,10.00,5.548E+10,1.040E+11,91.54
20,0.636,91.85,0.581,0.927,10.00,5.999E+10,1.195E+11,91.40
21,0.406,91.68,0.209,0.531,91.10,3.597E+11,5.856E+11,91.55
22,0.255,90.81,0.252,0.887,91.55,5.615E+11,8.727E+11,91.67
23,0.712,91.74,0.397,0.762,91.85,1.963E+11,2.936E+11,92.00
24,0.111,89.65,0.600,0.688,91.96,1.835E+11,2.964E+11,91.81
25,0.350,91.64,0.522,0.841,10.00,2.938E+11,4.551E+11,91.45
26,0.362,91.66,0.469,0.742,92.24,1.934E+11,3.534E+11,91.30
27,0.045,86.66,0.727,0.962,10.00,3.762E+11,7.388E+11,91.74
28,0.565,91.68,0.962,0.788,10.00,5.112E+11,7.601E+11,91.64
29,0.791,92.00,0.718,0.543,91.80,4.679E+11,6.811E+11,91.39
30,0.809,92.00,0.936,0.607,10.00,5.087E+11,7.742E+11,91.37
31,0.538,91.70,0.201,0.666,91.52,3.225E+11,5.794E+11,91.48
32,0.508,91.71,0.911,0.840,10.00,1.912E+11,3.053E+11,91.72
33,0.041,86.66,0.790,0.713,10.00,6.460E+10,1.113E+11,91.53
34,0.218,90.96,0.151,0.830,91.87,2.821E+11,4.744E+11,91.88
35,0.495,91.78,0.253,0.778,92.28,3.610E+11,5.696E+11,91.63
36,0.277,90.73,0.316,0.890,91.01,4.819E+11,8.301E+11,91.55
37,0.987,91.90,0.384,0.530,91.99,5.509E+11,8.149E+11,91.84
38,0.681,91.88,0.108,0.525,90.97,4.124E+11,7.796E+11,91.56
39,0.014,82.45,0.343,0.856,91.59,2.312E+11,4.262E+11,91.90
40,0.455,91.45,0.457,0.956,10.00,4.245E+11,8.157E+11,91.44
41,0.607,91.81,0.448,0.818,91.45,1.507E+11,2.721E+11,91.61
42,0.638,91.92,0.482,0.597,92.07,6.626E+10,1.206E+11,91.53
43,0.448,91.74,0.509,0.734,92.05,4.225E+11,7.045E+11,91.98
44,0.433,91.60,0.269,0.600,91.88,1.781E+11,3.073E+11,91.58
45,0.308,91.23,0.680,0.889,10.00,3.750E+11,5.862E+11,91.80
46,0.172,90.61,0.724,0.740,90.89,3.268E+11,5.544E+11,91.76
47,0.449,91.73,0.630,0.956,10.00,4.529E+11,6.510E+11,91.56
48,0.743,91.72,0.255,0.903,91.24,6.720E+10,1.335E+11,91.99
49,0.562,91.85,0.070,0.886,92.06,3.352E+11,6.272E+11,91.44
50,0.819,91.68,0.645,0.606,91.84,1.459E+11,2.124E+11,91.42
51,0.265,90.94,0.653,0.661,10.00,2.463E+11,4.516E+11,91.54
52,0.097,89.55,0.043,0.774,90.96,1.821E+11,3.307E+11,91.94
53,0.661,91.78,0.494,0.945,10.00,2.312E+11,4.247E+11,91.62
54,0.157,90.45,0.366,0.666,92.22,4.449E+11,8.368E+11,91.69
55,0.938,92.07,0.482,0.693,92.35,2.574E+11,4.108E+11,92.14
56,0.191,90.80,0.055,0.671,90.71,6.552E+11,9.712E+11,91.63
57,0.404,91.38,0.618,0.907,10.00,1.135E+11,2.090E+11,91.69
58,0.300,91.19,0.896,0.601,10.00,4.589E+11,9.009E+11,91.77
59,0.346,91.32,0.746,0.521,92.11,2.998E+11,4.849E+11,91.97
60,0.862,92.08,0.157,0.894,91.77,1.620E+11,2.909E+11,91.88
61,0.636,92.03,0.756,0.719,10.00,3.721E+11,6.445E+11,91.64
62,0.384,91.33,0.581,0.839,10.00,3.068E+11,5.412E+11,91.81
63,0.456,91.20,0.393,0.727,92.19,4.722E+11,8.574E+11,91.59
64,0.757,92.04,0.728,0.739,91.22,4.119E+11,6.620E+11,91.67
65,0.178,90.87,0.402,0.920,10.00,4.502E+11,8.244E+11,91.47
66,0.582,91.55,0.082,0.938,91.74,2.516E+11,3.680E+11,91.71
67,0.694,92.00,0.986,0.832,10.00,1.121E+11,1.869E+11,91.80
68,0.676,91.66,0.378,0.625,92.07,1.692E+11,2.798E+11,91.79
69,0.473,91.49,0.409,0.931,10.00,7.584E+10,1.091E+11,92.05
70,0.483,91.65,0.902,0.846,10.00,1.871E+11,3.099E+11,91.94
71,0.419,91.61,0.509,0.599,91.88,2.428E+11,3.581E+11,91.74
72,0.081,88.63,0.338,0.616,92.00,4.905E+11,7.134E+11,92.13
73,0.064,87.60,0.885,0.546,10.00,5.075E+11,7.269E+11,91.73
74,0.494,91.42,0.853,0.980,10.00,6.902E+10,1.256E+11,91.71
75,0.696,91.64,0.631,0.866,10.00,1.131E+11,2.259E+11,91.75
76,0.511,91.47,0.404,0.885,28.27,8.748E+10,1.359E+11,91.38
77,0.038,86.44,0.841,0.866,10.00,4.845E+11,8.730E+11,91.78
78,0.041,87.10,0.702,0.741,91.70,8.601E+10,1.518E+11,91.66
79,0.790,92.23,0.596,0.523,91.93,5.507E+11,8.746E+11,91.64
80,0.138,89.96,0.379,0.742,91.88,1.215E+11,2.335E+11,91.92
81,0.076,88.59,0.211,0.584,91.71,2.021E+11,3.073E+11,91.56
82,0.021,84.15,0.661,0.807,28.87,7.522E+10,1.103E+11,91.71
83,0.744,92.08,0.609,0.727,91.72,9.294E+10,1.488E+11,91.83
84,0.942,92.17,0.396,0.588,92.11,4.420E+11,7.397E+11,91.46
85,0.036,86.23,0.587,0.738,91.69,3.764E+11,6.113E+11,92.02
86,0.227,91.04,0.387,0.940,10.00,1.672E+11,2.998E+11,91.62
87,0.837,91.78,0.532,0.664,91.91,9.226E+10,1.829E+11,91.64
88,0.615,91.78,0.542,0.846,10.00,1.784E+11,3.329E+11,91.83
89,0.549,91.71,0.417,0.531,92.11,5.173E+11,9.437E+11,91.55
90,0.459,91.45,0.602,0.568,91.95,9.079E+10,1.359E+11,91.80
91,0.469,91.99,0.989,0.531,10.00,1.813E+11,2.841E+11,91.38
92,0.798,91.94,0.578,0.744,92.07,3.665E+11,6.885E+11,91.54
93,0.734,91.99,0.413,0.641,92.41,1.874E+11,2.904E+11,91.70
94,0.206,90.67,0.294,0.719,92.18,5.008E+11,7.695E+11,91.58
95,0.050,87.40,0.444,0.765,91.63,2.216E+11,3.267E+11,91.43
96,0.775,91.80,0.961,0.948,10.00,5.863E+11,9.917E+11,91.72
97,0.216,90.77,0.486,0.547,91.78,2.837E+11,5.295E+11,91.80
98,0.658,91.99,0.294,0.534,92.02,6.288E+11,9.284E+11,91.91
99,0.952,91.88,0.592,0.944,10.00,3.019E+11,5.175E+11,91.67
100,0.066,88.26,0.962,0.638,10.00,2.015E+11,3.165E+11,91.92
101,0.524,91.57,0.099,0.936,91.74,2.145E+11,3.707E+11,91.93
102,0.160,90.61,0.160,0.879,91.85,4.097E+11,8.086E+11,91.60
103,0.851,91.98,0.646,0.548,91.83,4.495E+11,6.682E+11,91.93
104,0.682,91.74,0.653,0.661,92.06,3.836E+11,7.500E+11,91.51
105,0.153,90.12,0.234,0.946,26.17,5.335E+11,9.466E+11,91.74
106,0.069,87.87,0.625,0.958,10.00,2.630E+11,4.093E+11,92.05
107,0.936,91.84,0.437,0.850,90.81,3.402E+11,5.025E+11,91.47
108,0.895,92.33,0.895,0.606,10.00,3.025E+11,5.629E+11,91.65
109,0.814,91.76,0.303,0.900,89.66,8.575E+10,1.513E+11,91.67
110,0.091,88.68,0.413,0.696,92.44,4.548E+11,6.619E+11,91.51
111,0.483,91.39,0.559,0.783,91.80,2.335E+11,3.542E+11,91.83
112,0.563,91.97,0.149,0.878,92.04,1.917E+11,2.903E+11,91.61
113,0.720,92.02,0.300,0.813,91.98,4.174E+11,7.485E+11,91.22
114,0.916,92.09,0.419,0.804,92.03,2.426E+11,4.684E+11,91.52
115,0.093,89.16,0.325,0.675,91.81,3.209E+11,6.391E+11,91.61
116,0.484,91.80,0.241,0.941,75.93,2.243E+11,3.525E+11,92.05
117,0.396,91.34,0.624,0.941,10.00,6.196E+11,9.210E+11,91.74
118,0.320,91.76,0.935,0.594,10.00,4.285E+11,7.936E+11,91.33
119,0.542,91.43,0.353,0.771,92.02,5.667E+11,8.508E+11,91.30
120,0.132,90.13,0.850,0.691,10.00,4.651E+11,7.782E+11,91.77
121,0.470,91.75,0.681,0.972,10.00,1.341E+11,2.431E+11,91.33
122,0.020,84.09,0.325,0.797,91.87,2.195E+11,4.114E+11,91.86
123,0.504,91.87,0.014,0.956,91.14,6.526E+10,1.027E+11,91.92
124,0.953,91.73,0.456,0.697,92.18,5.011E+11,8.844E+11,91.74
125,0.242,90.53,0.548,0.571,92.21,5.442E+10,1.043E+11,91.42
126,0.523,91.70,0.551,0.761,91.50,4.602E+11,8.509E+11,91.81
127,0.794,91.86,0.266,0.574,91.52,8.755E+10,1.334E+11,91.42
128,0.555,91.70,0.309,0.738,92.17,3.064E+11,5.198E+11,91.76
129,0.173,90.73,0.034,0.873,91.04,5.466E+11,9.285E+11,91.53
130,0.129,90.03,0.804,0.738,10.00,5.693E+11,9.806E+11,92.00
131,0.389,91.92,0.189,0.678,91.82,4.268E+11,8.426E+11,91.56
132,0.976,91.70,0.802,0.983,10.00,4.417E+11,6.816E+11,91.01
133,0.724,91.65,0.204,0.921,90.90,5.871E+11,9.441E+11,91.52
134,0.676,91.93,0.880,0.558,91.98,4.274E+11,7.284E+11,91.44
135,0.269,91.11,0.040,0.932,91.74,7.465E+10,1.273E+11,91.58
136,0.346,91.41,0.422,0.946,10.00,3.133E+11,5.564E+11,91.29
137,0.837,91.81,0.323,0.838,91.67,1.889E+11,2.853E+11,91.71
138,0.757,92.03,0.114,0.641,91.34,2.521E+11,4.228E+11,91.64
139,0.700,92.02,0.003,0.739,81.60,3.445E+11,5.258E+11,92.02
140,0.214,90.42,0.443,0.594,92.04,1.651E+11,2.642E+11,91.77
141,0.267,90.88,0.618,0.622,92.05,6.211E+11,9.641E+11,91.54
142,0.676,91.98,0.374,0.935,10.00,1.542E+11,2.427E+11,91.60
143,0.155,90.31,0.662,0.640,10.00,1.908E+11,2.965E+11,91.38
144,0.902,92.15,0.424,0.743,91.82,3.841E+11,6.282E+11,91.72
145,0.140,90.09,0.444,0.507,91.85,4.377E+11,6.594E+11,91.15
146,0.855,91.70,0.651,0.970,10.00,2.972E+11,4.294E+11,91.68
147,0.862,91.94,0.121,0.796,91.93,5.475E+11,9.900E+11,91.21
148,0.306,91.54,0.408,0.786,92.00,1.668E+11,2.914E+11,91.75
149,0.221,91.12,0.776,0.753,10.00,4.850E+11,8.655E+11,91.74
150,0.227,90.90,0.853,0.779,26.81,7.190E+10,1.272E+11,91.47
151,0.038,86.39,0.228,0.578,91.59,8.220E+10,1.381E+11,91.30
152,0.339,91.49,0.661,0.875,10.00,6.013E+10,1.069E+11,91.73
153,0.013,81.58,0.064,0.532,89.91,2.434E+11,4.691E+11,91.51
154,0.304,91.22,0.034,0.674,89.51,4.136E+11,7.322E+11,91.65
155,0.988,92.19,0.633,0.812,10.00,2.974E+11,5.751E+11,91.38
156,0.041,86.74,0.332,0.945,10.00,4.109E+11,7.320E+11,91.57
157,0.782,92.05,0.326,0.700,92.03,1.850E+11,3.019E+11,91.08
158,0.650,91.76,0.710,0.737,10.00,2.095E+11,3.493E+11,91.69
159,0.536,91.54,0.807,0.542,92.09,5.837E+11,9.673E+11,91.67
160,0.402,91.80,0.988,0.591,91.88,1.486E+11,2.480E+11,91.48
161,0.792,91.77,0.435,0.850,91.34,1.643E+11,2.822E+11,91.50
162,0.342,91.80,0.372,0.733,92.09,6.017E+11,9.959E+11,91.81
163,1.000,92.29,0.552,0.893,10.00,8.220E+10,1.212E+11,91.63
164,0.697,91.80,0.478,0.882,52.21,4.898E+11,8.275E+11,91.50
165,0.220,90.72,0.502,0.558,91.82,1.274E+11,2.100E+11,91.49
166,0.130,89.77,0.779,0.943,10.00,4.843E+11,7.188E+11,91.69
167,0.432,91.64,0.958,0.511,10.00,4.551E+11,7.253E+11,91.60
168,0.244,91.02,0.258,0.569,91.78,1.293E+11,1.976E+11,91.71
169,0.067,87.79,0.485,0.866,80.33,3.530E+11,6.983E+11,91.46
170,0.002,67.96,0.094,0.908,91.73,4.694E+11,7.541E+11,91.56
171,0.405,91.74,0.798,0.676,10.00,4.428E+11,7.946E+11,91.78
172,0.999,92.08,0.969,0.538,92.04,3.270E+11,5.764E+11,91.70
173,0.141,90.12,0.121,0.776,91.93,5.787E+11,8.848E+11,91.84
174,0.113,89.55,0.707,0.623,10.00,2.831E+11,4.878E+11,91.73
175,0.220,91.39,0.770,0.541,91.89,1.129E+11,1.909E+11,91.80
176,0.097,89.70,0.402,0.873,89.57,4.446E+11,8.712E+11,91.41
177,0.902,91.94,0.204,0.559,91.43,9.415E+10,1.482E+11,91.71
178,0.307,91.32,0.638,0.752,91.95,1.675E+11,2.962E+11,91.51
179,0.614,91.95,0.594,0.738,10.00,1.111E+11,1.605E+11,91.97
180,0.097,89.55,0.122,0.525,90.99,1.413E+11,2.073E+11,91.52
181,0.886,91.98,0.239,0.847,91.82,9.820E+10,1.860E+11,91.81
182,0.845,91.67,0.436,0.608,91.95,6.084E+11,8.776E+11,91.63
183,0.770,92.00,0.730,0.940,10.00,3.798E+11,5.659E+11,91.58
184,0.934,91.72,0.372,0.597,91.91,5.852E+11,9.275E+11,91.88
185,0.140,90.35,0.361,0.697,91.92,1.948E+11,3.090E+11,91.50
186,0.462,91.49,0.855,0.683,10.00,5.563E+11,9.512E+11,91.98
187,0.420,91.53,0.986,0.911,10.00,4.463E+11,7.860E+11,91.29
188,0.089,88.99,0.480,0.762,91.92,4.710E+11,7.008E+11,92.02
189,0.445,91.30,0.867,0.603,92.06,1.036E+11,1.752E+11,91.70
190,0.780,91.93,0.911,0.610,10.00,1.583E+11,2.923E+11,91.50
191,0.713,91.62,0.318,0.526,91.86,3.105E+11,4.923E+11,91.81
192,0.432,91.47,0.697,0.631,91.93,1.462E+11,2.579E+11,92.02
193,0.083,88.77,0.341,0.676,91.97,1.154E+11,2.059E+11,91.51
194,0.371,91.24,0.596,0.724,92.01,4.437E+11,7.741E+11,91.87
195,0.606,91.65,0.166,0.699,91.67,3.591E+11,5.751E+11,91.48
196,0.238,91.10,0.490,0.626,92.08,2.812E+11,4.023E+11,91.89
197,0.523,91.70,0.009,0.611,83.90,4.724E+11,9.165E+11,91.83
198,0.280,91.10,0.301,0.830,92.02,3.015E+11,5.529E+11,91.73
199,0.410,91.45,0.517,0.735,91.65,2.705E+11,4.525E+11,91.69
200,0.634,91.82,0.158,0.826,91.97,1.679E+11,3.072E+11,91.70