,Learning Rate,Random Seed,,,,,Mean,Std
,,1,2,3,4,5,,
SGD,2,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,1.5,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,1,91.590,92.300,92.270,91.710,92.230,92.020,0.341
,0.75,92.310,91.400,91.890,91.620,92.000,91.844,0.350
,0.5,91.830,91.750,91.520,91.620,91.700,91.684,0.119
,0.375,91.520,91.310,91.790,91.120,91.570,91.462,0.256
,0.25,91.310,91.060,90.970,91.020,91.050,91.082,0.132
,0.15,90.100,90.110,90.340,90.350,90.230,90.226,0.120
,0.05,87.530,87.410,87.410,87.750,87.630,87.546,0.147
,0.025,84.730,84.580,84.580,85.160,84.430,84.696,0.280
,0.01,80.130,81.420,80.360,81.480,80.660,80.810,0.614
HB,2,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,1.5,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,1,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,0.75,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,0.5,10.000,10.000,10.000,10.000,10.000,10.000,0.000
,0.375,40.590,41.420,42.010,40.220,39.420,40.732,1.014
,0.25,91.510,91.320,91.420,91.290,91.480,91.404,0.097
,0.15,92.310,91.690,91.740,92.050,91.720,91.902,0.270
,0.05,91.310,91.440,91.500,91.290,91.600,91.428,0.130
,0.025,91.020,90.690,90.960,90.870,90.740,90.856,0.140
,0.01,89.390,89.050,89.010,89.820,89.580,89.370,0.346
,,,,,,,,
,,,,,,,,
,SGD,HB,,,,,,
2,10,10,,2,10,,,
1.5,10,10,,1.5,10,,,
1,92.02,10,,1,10,,,
0.75,91.844,10,,0.75,10,,,
0.5,91.684,10,,0.5,10,,,
0.375,91.462,40.732,,0.375,40.732,,,
0.25,91.082,91.404,,0.25,91.404,,,
0.15,90.226,91.902,,0.15,91.902,,,
0.05,87.546,91.428,,0.05,91.428,,,
0.025,84.696,90.856,,0.025,90.856,,,
0.01,80.81,89.37,,0.01,89.37,,,